MO,,SHOP,,SWKS,,MDB,,NVDA,
Date,Close,Date,Close,Date,Close,Date,Close,Date,Close
5/13/2019 16:00:00,51.44,5/13/2019 16:00:00,250.79,5/13/2019 16:00:00,76.63,5/13/2019 16:00:00,127.84,5/13/2019 16:00:00,158.45
5/14/2019 16:00:00,51.89,5/14/2019 16:00:00,253.15,5/14/2019 16:00:00,78.11,5/14/2019 16:00:00,133.34,5/14/2019 16:00:00,162.04
5/15/2019 16:00:00,52.13,5/15/2019 16:00:00,264.16,5/15/2019 16:00:00,78.75,5/15/2019 16:00:00,138.44,5/15/2019 16:00:00,159.58
5/16/2019 16:00:00,52.03,5/16/2019 16:00:00,278.01,5/16/2019 16:00:00,73.99,5/16/2019 16:00:00,146.86,5/16/2019 16:00:00,160.19
5/17/2019 16:00:00,52.35,5/17/2019 16:00:00,273.5,5/17/2019 16:00:00,70.41,5/17/2019 16:00:00,145.74,5/17/2019 16:00:00,156.53
5/20/2019 16:00:00,52.33,5/20/2019 16:00:00,267.19,5/20/2019 16:00:00,68.01,5/20/2019 16:00:00,145.05,5/20/2019 16:00:00,151.75
5/21/2019 16:00:00,51.87,5/21/2019 16:00:00,272.81,5/21/2019 16:00:00,69.74,5/21/2019 16:00:00,144.4,5/21/2019 16:00:00,155.06
5/22/2019 16:00:00,52.83,5/22/2019 16:00:00,279,5/22/2019 16:00:00,68.54,5/22/2019 16:00:00,142.46,5/22/2019 16:00:00,152.2
5/23/2019 16:00:00,52.81,5/23/2019 16:00:00,271.62,5/23/2019 16:00:00,68.46,5/23/2019 16:00:00,138.82,5/23/2019 16:00:00,147.32
5/24/2019 16:00:00,52.4,5/24/2019 16:00:00,275.85,5/24/2019 16:00:00,69.53,5/24/2019 16:00:00,139.77,5/24/2019 16:00:00,145.15
5/28/2019 16:00:00,49.87,5/28/2019 16:00:00,282.43,5/28/2019 16:00:00,68.01,5/28/2019 16:00:00,141.4,5/28/2019 16:00:00,143.33
5/29/2019 16:00:00,50.19,5/29/2019 16:00:00,272.68,5/29/2019 16:00:00,68.54,5/29/2019 16:00:00,137.49,5/29/2019 16:00:00,140.34
5/30/2019 16:00:00,50.21,5/30/2019 16:00:00,277.05,5/30/2019 16:00:00,68.27,5/30/2019 16:00:00,139.99,5/30/2019 16:00:00,139.11
5/31/2019 16:00:00,49.06,5/31/2019 16:00:00,274.9,5/31/2019 16:00:00,66.63,5/31/2019 16:00:00,140.34,5/31/2019 16:00:00,135.46
6/3/2019 16:00:00,50.1,6/3/2019 16:00:00,265,6/3/2019 16:00:00,66.92,6/3/2019 16:00:00,130.56,6/3/2019 16:00:00,133.78
6/4/2019 16:00:00,50.42,6/4/2019 16:00:00,274,6/4/2019 16:00:00,69.4,6/4/2019 16:00:00,138.21,6/4/2019 16:00:00,143
6/5/2019 16:00:00,49.69,6/5/2019 16:00:00,292.52,6/5/2019 16:00:00,67.96,6/5/2019 16:00:00,148.87,6/5/2019 16:00:00,141.28
