,Date,Ticker,Transaction,Transaction Price,Number of shares,Transaction Cost,Close,Net Shares,Cummulative Shares,Avg Price per Share,Cummulative Contributions,Daily Balance,Unrealized Gains(Losses)
0,2012-03-05,AAPL,B,77.8,100.0,7780.0,76.17,100.0,100.0,77.8,7780.0,7617.0,-163.0
1,2012-03-06,AAPL,,,0.0,,75.75,-0.0,100.0,77.8,7780.0,7575.0,-205.0
2,2012-03-07,AAPL,,,0.0,,75.81,-0.0,100.0,77.8,7780.0,7581.0,-199.0
3,2012-03-08,AAPL,,,0.0,,77.43,-0.0,100.0,77.8,7780.0,7743.000000000001,-36.99999999999909
4,2012-03-09,AAPL,,,0.0,,77.88,-0.0,100.0,77.8,7780.0,7788.0,8.0
5,2012-03-12,AAPL,,,0.0,,78.86,-0.0,100.0,77.8,7780.0,7886.0,106.0
6,2012-03-13,AAPL,,,0.0,,81.16,-0.0,100.0,77.8,7780.0,8116.0,336.0
7,2012-03-14,AAPL,,,0.0,,84.23,-0.0,100.0,77.8,7780.0,8423.0,643.0
8,2012-03-15,AAPL,,,0.0,,83.65,-0.0,100.0,77.8,7780.0,8365.0,585.0
9,2012-03-16,AAPL,,,0.0,,83.65,-0.0,100.0,77.8,7780.0,8365.0,585.0
10,2012-03-19,AAPL,,,0.0,,85.87,-0.0,100.0,77.8,7780.0,8587.0,807.0
11,2012-03-20,AAPL,,,0.0,,86.57,-0.0,100.0,77.8,7780.0,8657.0,877.0
12,2012-03-21,AAPL,,,0.0,,86.07,-0.0,100.0,77.8,7780.0,8607.0,827.0
13,2012-03-22,AAPL,,,0.0,,85.62,-0.0,100.0,77.8,7780.0,8562.0,782.0
14,2012-03-23,AAPL,,,0.0,,85.15,-0.0,100.0,77.8,7780.0,8515.0,735.0
15,2012-03-26,AAPL,,,0.0,,86.71,-0.0,100.0,77.8,7780.0,8671.0,891.0
16,2012-03-27,AAPL,,,0.0,,87.78,-0.0,100.0,77.8,7780.0,8778.0,998.0
17,2012-03-28,AAPL,,,0.0,,88.23,-0.0,100.0,77.8,7780.0,8823.0,1043.0
18,2012-03-29,AAPL,,,0.0,,87.12,-0.0,100.0,77.8,7780.0,8712.0,932.0
19,2012-03-30,AAPL,,,0.0,,85.65,-0.0,100.0,77.8,7780.0,8565.0,785.0
20,2012-04-02,AAPL,,,0.0,,88.38,-0.0,100.0,77.8,7780.0,8838.0,1058.0
21,2012-04-03,AAPL,,,0.0,,89.9,-0.0,100.0,77.8,7780.0,8990.0,1210.0
22,2012-04-04,AAPL,,,0.0,,89.19,-0.0,100.0,77.8,7780.0,8919.0,1139.0
23,2012-04-05,AAPL,,,0.0,,90.53,-0.0,100.0,77.8,7780.0,9053.0,1273.0
24,2012-04-09,AAPL,,,0.0,,90.89,-0.0,100.0,77.8,7780.0,9089.0,1309.0
25,2012-04-10,AAPL,,,0.0,,89.78,-0.0,100.0,77.8,7780.0,8978.0,1198.0
26,2012-04-11,AAPL,,,0.0,,89.46,-0.0,100.0,77.8,7780.0,8946.0,1166.0
27,2012-04-12,AAPL,,,0.0,,88.97,-0.0,100.0,77.8,7780.0,8897.0,1117.0
28,2012-04-13,AAPL,,,0.0,,86.46,-0.0,100.0,77.8,7780.0,8646.0,866.0
29,2012-04-16,AAPL,,,0.0,,82.88,-0.0,100.0,77.8,7780.0,8288.0,508.0
30,2012-04-17,AAPL,,,0.0,,87.1,-0.0,100.0,77.8,7780.0,8710.0,930.0
31,2012-04-18,AAPL,,,0.0,,86.91,-0.0,100.0,77.8,7780.0,8691.0,911.0
32,2012-04-19,AAPL,,,0.0,,83.92,-0.0,100.0,77.8,7780.0,8392.0,612.0
33,2012-04-20,AAPL,,,0.0,,81.85,-0.0,100.0,77.8,7780.0,8184.999999999999,404.9999999999991
34,2012-04-23,AAPL,,,0.0,,81.67,-0.0,100.0,77.8,7780.0,8167.0,387.0
35,2012-04-24,AAPL,,,0.0,,80.04,-0.0,100.0,77.8,7780.0,8004.000000000001,224.0000000000009
36,2012-04-25,AAPL,,,0.0,,87.14,-0.0,100.0,77.8,7780.0,8714.0,934.0
37,2012-04-26,AAPL,,,0.0,,86.81,-0.0,100.0,77.8,7780.0,8681.0,901.0
38,2012-04-27,AAPL,,,0.0,,86.14,-0.0,100.0,77.8,7780.0,8614.0,834.0
39,2012-04-30,AAPL,,,0.0,,83.43,-0.0,100.0,77.8,7780.0,8343.0,563.0
40,2012-05-01,AAPL,,,0.0,,83.16,-0.0,100.0,77.8,7780.0,8316.0,536.0
41,2012-05-02,AAPL,,,0.0,,83.71,-0.0,100.0,77.8,7780.0,8371.0,591.0
42,2012-05-03,AAPL,,,0.0,,83.12,-0.0,100.0,77.8,7780.0,8312.0,532.0
43,2012-05-04,AAPL,,,0.0,,80.75,-0.0,100.0,77.8,7780.0,8075.0,295.0
44,2012-05-07,AAPL,,,0.0,,81.35,-0.0,100.0,77.8,7780.0,8134.999999999999,354.9999999999991
45,2012-05-08,AAPL,,,0.0,,81.17,-0.0,100.0,77.8,7780.0,8117.0,337.0
